# Country	Population	Date	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Continent
Guinea	12414318	2020-04-13	319	0	26.0	0.0	15.0	0.0	Africa
Guinea-Bissau	1874309	2020-04-12	38	0	20.0	0.0	11.0	0.0	Africa
Guyana	779004	2020-04-12	45	6	58.0	8.0	27.0	3.0	South America
Haiti	11123176	2020-04-13	40	3	4.0	0.0	1.0	0.0	North America
Holy See		2020-04-12	8	0	0	0	0	0	
Honduras	9587522	2020-04-13	397	25	41.0	3.0	10.0	0.0	North America
Hungary	9768785	2020-04-13	1458	109	149.0	11.0	73.0	7.0	Europe
Iceland	353574	2020-04-13	1711	8	4839.0	23.0	421.0	6.0	Europe
India	1352617328	2020-04-13	10453	358	8.0	0.0	4.0	0.0	Asia
Indonesia	267663435	2020-04-13	4557	399	17.0	1.0	8.0	1.0	Asia
Iran	81800269	2020-04-13	73303	4585	896.0	56.0	157.0	10.0	Asia
Iraq	38433600	2020-04-13	1378	78	36.0	2.0	9.0	0.0	Asia
Ireland	4853506	2020-04-13	10647	365	2194.0	75.0	1088.0	39.0	Europe
Israel	8883800	2020-04-13	11586	116	1304.0	13.0	302.0	7.0	Asia
Italy	60431283	2020-04-13	159516	20465	2640.0	339.0	446.0	65.0	Europe
Ivory Coast	25069229	2020-04-13	626	6	25.0	0.0	12.0	0.0	Africa
Jamaica	2934855	2020-04-13	73	4	25.0	1.0	5.0	0.0	North America
Japan	126529100	2020-04-13	7370	123	58.0	1.0	29.0	0.0	Asia
Jordan	9956011	2020-04-13	391	7	39.0	1.0	4.0	0.0	Asia
Kazakhstan	18276499	2020-04-13	1091	12	60.0	1.0	23.0	0.0	Asia
Kenya	51393010	2020-04-13	208	9	4.0	0.0	1.0	0.0	Africa
Kosovo	1845300	2020-04-12	283	7	153.0	4.0	75.0	3.0	Europe
Kuwait	4137309	2020-04-13	1300	2	314.0	0.0	153.0	0.0	Asia
Kyrgyzstan	6315800	2020-04-13	419	5	66.0	1.0	32.0	0.0	Asia
Laos	7061507	2020-04-12	19	0	3.0	0.0	1.0	0.0	Asia
Latvia	1926542	2020-04-13	655	5	340.0	3.0	59.0	2.0	Europe
Lebanon	6848925	2020-04-13	632	20	92.0	3.0	13.0	0.0	Asia
Liberia	4818977	2020-04-13	59	6	12.0	1.0	9.0	1.0	Africa
Libya	6678567	2020-04-13	26	1	4.0	0.0	1.0	0.0	Africa
Liechtenstein	37910	2020-04-12	79	1	2084.0	26.0	53.0	0.0	Europe
Lithuania	2789533	2020-04-13	1062	24	381.0	9.0	79.0	3.0	Europe
Luxembourg	607728	2020-04-13	3292	69	5417.0	114.0	739.0	46.0	Europe
